15	13	25	17	15	12	11
32	28	42	31	32	28	25
46	46	47	47	46	48	42
55	65	50	62	68	65	54
59	79	67	73	79	74	59
64	84	85	76	82	76	59
66	78	85	73	78	77	64
66	65	74	73	72	80	72
68	59	70	82	74	83	73
76	71	79	96	65	79	63
84	93	92	100	98	65	40
84	95	94	86	88	46	18
70	70	81	65	63	36	4
46	45	58	42	47	11	
28	28	34	21	38		
10	13	15	5	19		
