0	1	{}
1	2	{}
2	3	{}
3	4	{}
4	3	{}
4	5	{}
4	62	{}
5	4	{}
5	6	{}
5	62	{}
6	5	{}
6	7	{}
7	6	{}
7	8	{}
7	106	{}
8	7	{}
8	9	{}
8	106	{}
9	8	{}
9	10	{}
9	106	{}
10	9	{}
10	11	{}
10	12	{}
11	10	{}
11	12	{}
12	11	{}
12	10	{}
12	13	{}
13	12	{}
13	14	{}
13	56	{}
14	13	{}
14	56	{}
14	15	{}
15	14	{}
15	16	{}
15	69	{}
16	15	{}
16	69	{}
16	17	{}
17	16	{}
17	18	{}
18	17	{}
18	19	{}
19	18	{}
19	20	{}
20	19	{}
20	21	{}
21	22	{}
22	21	{}
22	23	{}
23	22	{}
23	24	{}
24	23	{}
24	25	{}
25	24	{}
25	26	{}
25	27	{}
26	25	{}
26	27	{}
27	25	{}
27	26	{}
27	28	{}
27	77	{}
28	27	{}
28	77	{}
28	29	{}
29	28	{}
29	77	{}
29	78	{}
29	30	{}
30	29	{}
30	78	{}
30	31	{}
31	30	{}
31	78	{}
31	93	{}
31	32	{}
32	31	{}
32	93	{}
32	33	{}
33	32	{}
33	94	{}
33	34	{}
34	33	{}
34	94	{}
34	35	{}
35	34	{}
35	39	{}
35	38	{}
35	37	{}
35	36	{}
36	35	{}
36	37	{}
37	36	{}
37	35	{}
37	38	{}
38	37	{}
38	35	{}
38	39	{}
39	38	{}
39	35	{}
39	40	{}
40	39	{}
40	41	{}
41	40	{}
41	42	{}
42	41	{}
42	43	{}
43	42	{}
43	44	{}
44	43	{}
44	45	{}
45	44	{}
45	46	{}
46	45	{}
46	47	{}
47	46	{}
47	104	{}
47	48	{}
48	47	{}
48	104	{}
48	49	{}
49	48	{}
49	105	{}
49	50	{}
50	49	{}
50	105	{}
50	52	{}
50	51	{}
51	50	{}
51	105	{}
52	50	{}
52	105	{}
51	53	{}
52	53	{}
53	54	{}
54	55	{}
56	13	{}
56	14	{}
56	57	{}
57	56	{}
57	106	{}
57	58	{}
58	57	{}
58	106	{}
58	67	{}
58	59	{}
59	58	{}
59	106	{}
59	60	{}
60	59	{}
60	62	{}
60	63	{}
60	61	{}
61	60	{}
61	63	{}
61	62	{}
62	61	{}
62	5	{}
62	4	{}
63	60	{}
63	61	{}
63	64	{}
64	63	{}
64	103	{}
64	65	{}
65	64	{}
65	103	{}
65	86	{}
65	66	{}
66	65	{}
66	85	{}
66	67	{}
67	66	{}
67	70	{}
67	58	{}
67	85	{}
67	68	{}
68	67	{}
68	70	{}
68	69	{}
69	68	{}
69	15	{}
69	16	{}
69	70	{}
70	69	{}
70	68	{}
70	67	{}
70	71	{}
71	70	{}
71	72	{}
72	71	{}
72	73	{}
73	72	{}
73	74	{}
74	73	{}
74	75	{}
75	74	{}
75	76	{}
76	75	{}
76	77	{}
77	76	{}
77	27	{}
77	28	{}
77	29	{}
78	29	{}
78	30	{}
78	31	{}
78	79	{}
79	78	{}
79	80	{}
80	79	{}
80	81	{}
81	80	{}
81	82	{}
82	81	{}
82	83	{}
83	82	{}
83	84	{}
84	83	{}
84	85	{}
85	84	{}
85	67	{}
85	66	{}
86	65	{}
86	103	{}
86	87	{}
87	86	{}
87	88	{}
88	87	{}
88	89	{}
89	88	{}
89	90	{}
90	89	{}
90	91	{}
91	90	{}
91	92	{}
92	91	{}
92	93	{}
93	92	{}
93	31	{}
93	32	{}
94	33	{}
94	34	{}
94	95	{}
95	94	{}
95	96	{}
96	95	{}
96	97	{}
97	96	{}
97	98	{}
98	97	{}
98	99	{}
99	98	{}
99	100	{}
100	99	{}
100	101	{}
101	100	{}
101	103	{}
101	104	{}
101	102	{}
102	101	{}
102	104	{}
102	103	{}
103	102	{}
103	64	{}
103	65	{}
104	101	{}
104	102	{}
104	48	{}
104	105	{}
105	104	{}
105	49	{}
105	50	{}
105	51	{}
105	52	{}
106	9	{}
106	8	{}
106	7	{}
106	57	{}
106	58	{}
106	59	{}
